sample_ID1	sample_ID2	Total_cM	Segment_Count
NA18497	NA19206	7.657	1
NA18497	NA19207	6.538	1
NA18497	NA19213	5.465	1
NA18497	NA19214	5.039	1
NA18497	NA19221	3.065	1
NA18497	NA19224	6.721	1
NA18497	NA19225	7.74	1
NA18497	NA19226	3.032	1
NA18497	NA19236	6.084	2
NA18497	NA19237	7.97	1
NA18497	NA19238	5.037	1
NA18497	NA19240	7.664	1
NA18497	NA19248	12.218	3
NA18497	NA19249	4.977	1
NA18497	NA19256	6.473	1
NA18497	NA19257	7.396	1
NA18498	NA18506	7.834	2
NA18498	NA18854	8.204	2
NA18498	NA18861	2.203	1
NA18498	NA18873	6.574	1
NA18498	NA18878	10.063	2
NA18498	NA19092	2.686	1
NA18498	NA19097	5.729	1
NA18498	NA19100	5.464	1
NA18498	NA19117	5.688	1
NA18498	NA19131	2.623	1
NA18498	NA19150	10.961	2
NA18498	NA19186	6.233	2
NA18498	NA19201	3.279	1
NA18498	NA19206	5.384	1
NA18498	NA19225	4.043	1
NA18498	NA19237	7.388	1
NA18498	NA19256	5.145	1
NA18499	NA18486	2.686	1
NA18499	NA18498	5.906	1
NA18499	NA18501	4.503	1
NA18499	NA18502	3.035	1
NA18499	NA18506	3.342	1
NA18499	NA18507	5.706	1
NA18499	NA18517	11.738	2
NA18499	NA18518	8.921	2
NA18499	NA18520	8.036	2
NA18499	NA18854	6.537	1
NA18499	NA18861	5.546	1
NA18499	NA18862	5.547	1
NA18499	NA18873	5.39	2
NA18499	NA18874	11.839	3
NA18499	NA18878	5.706	1
NA18499	NA18879	4.361	1
NA18499	NA18881	10.941	2
NA18499	NA18906	7.398	1
NA18499	NA18911	10.069	2
NA18499	NA18912	5.543	1
NA18499	NA18913	2.357	1
NA18499	NA18916	3.343	1
NA18499	NA18917	6.813	2
NA18499	NA18923	2.357	1
NA18499	NA18924	7.987	3
NA18499	NA18925	5.921	2
NA18499	NA18930	8.925	2
NA18499	NA18935	4.364	1
NA18499	NA19092	2.686	1
NA18499	NA19093	2.357	1
NA18499	NA19096	15.303	3
NA18499	NA19097	13.425	2
NA18499	NA19098	12.292	3
NA18499	NA19100	13.102	2
NA18499	NA19101	6.538	1
NA18499	NA19109	18.605	3
NA18499	NA19113	7.4	1
NA18499	NA19116	5.329	2
NA18499	NA19117	2.359	1
NA18499	NA19118	5.306	1
NA18499	NA19120	10.005	2
NA18499	NA19123	7.657	1
NA18499	NA19128	4.362	1
NA18499	NA19129	4.372	1
NA18499	NA19130	4.362	1
NA18499	NA19131	2.623	1
NA18499	NA19132	6.535	1
NA18499	NA19137	9.517	2
NA18499	NA19142	11.313	2
NA18499	NA19143	4.362	1
NA18499	NA19144	5.347	1
NA18499	NA19147	4.432	1
NA18499	NA19148	6.496	1
NA18499	NA19149	8.412	2
NA18499	NA19150	2.357	1
NA18499	NA19151	7.66	1
NA18499	NA19154	4.241	1
NA18499	NA19159	3.019	1
NA18499	NA19161	8.925	2
NA18499	NA19173	7.982	1
NA18499	NA19174	4.364	1
NA18499	NA19175	7.663	1
NA18499	NA19185	3.017	1
NA18499	NA19186	4.364	1
NA18499	NA19197	5.349	1
NA18499	NA19199	6.532	1
NA18499	NA19201	10.944	1
NA18499	NA19202	7.878	1
NA18499	NA19205	7.661	1
NA18499	NA19206	7.657	1
NA18499	NA19207	11.098	2
NA18499	NA19214	3.034	1
NA18499	NA19221	7.592	2
NA18499	NA19224	12.407	2
NA18499	NA19225	7.88	2
NA18499	NA19226	3.032	1
NA18499	NA19236	7.81	2
NA18499	NA19237	12.131	2
NA18499	NA19238	10.871	2
NA18499	NA19248	5.549	1
NA18499	NA19249	10.971	1
NA18499	NA19256	5.557	1
NA18499	NA19257	5.547	1
NA18500	NA18487	7.538	1
NA18500	NA18498	5.464	1
NA18500	NA18499	10.88	2
NA18500	NA18501	540.38	153
NA18500	NA18502	441.377	127
NA18500	NA18505	7.326	2
NA18500	NA18506	4.018	1
NA18500	NA18517	7.575	1
NA18500	NA18518	15.379	3
NA18500	NA18520	4.439	1
NA18500	NA18521	7.534	1
NA18500	NA18853	3.956	1
NA18500	NA18861	4.528	1
NA18500	NA18865	6.254	1
NA18500	NA18867	3.106	1
NA18500	NA18872	7.007	2
NA18500	NA18873	5.668	2
NA18500	NA18877	4.457	1
NA18500	NA18878	4.36	1
NA18500	NA18879	5.564	1
NA18500	NA18881	3.106	1
NA18500	NA18906	7.416	1
NA18500	NA18909	8.482	2
NA18500	NA18911	7.494	2
NA18500	NA18916	3.342	1
NA18500	NA18917	8.03	2
NA18500	NA18930	3.342	1
NA18500	NA18935	7.394	1
NA18500	NA19093	4.527	1
NA18500	NA19096	4.018	1
NA18500	NA19097	7.693	1
NA18500	NA19098	4.38	1
NA18500	NA19100	7.466	1
NA18500	NA19101	4.535	1
NA18500	NA19109	7.531	1
NA18500	NA19113	7.394	1
NA18500	NA19116	4.026	1
NA18500	NA19118	9.752	1
NA18500	NA19120	6.533	1
NA18500	NA19123	6.538	1
NA18500	NA19128	3.956	1
NA18500	NA19129	6.377	1
NA18500	NA19130	8.217	2
NA18500	NA19132	6.552	1
NA18500	NA19137	2.437	1
NA18500	NA19142	7.569	1
NA18500	NA19143	4.381	1
NA18500	NA19144	5.347	1
NA18500	NA19147	4.562	1
NA18500	NA19149	15.133	2
NA18500	NA19150	4.6	1
NA18500	NA19151	18.474	3
NA18500	NA19154	3.996	1
NA18500	NA19161	7.394	1
NA18500	NA19173	7.555	1
NA18500	NA19174	9.92	1
NA18500	NA19175	10.373	2
NA18500	NA19186	7.532	1
NA18500	NA19198	7.398	2
NA18500	NA19201	8.482	2
NA18500	NA19202	3.155	1
NA18500	NA19205	7.408	1
NA18500	NA19206	5.039	1
NA18500	NA19207	6.534	1
NA18500	NA19213	3.617	1
NA18500	NA19214	5.042	1
NA18500	NA19224	7.536	1
NA18500	NA19225	3.85	1
NA18500	NA19226	6.19	2
NA18500	NA19236	7.334	2
NA18500	NA19237	7.555	1
NA18500	NA19238	4.018	1
NA18500	NA19240	11.84	2
NA18500	NA19249	3.956	1
NA18500	NA19256	3.174	1
NA18501	NA18859	2.309	1
NA18501	NA18861	2.423	1
NA18501	NA18878	3.615	1
NA18501	NA18912	2.068	1
NA18501	NA19097	9.514	2
NA18501	NA19100	5.909	2
NA18501	NA19117	8.576	2
NA18501	NA19129	3.614	1
NA18501	NA19148	3.193	1
NA18501	NA19174	8.975	3
NA18501	NA19186	3.614	1
NA18501	NA19213	6.688	2
NA18501	NA19237	3.827	1
NA18502	NA18506	5.349	1
NA18502	NA18517	5.917	2
NA18502	NA18518	5.517	1
NA18502	NA18859	3.543	1
NA18502	NA18862	2.782	1
NA18502	NA18873	2.514	1
NA18502	NA18879	6.796	2
NA18502	NA18906	2.782	1
NA18502	NA18913	3.941	1
NA18502	NA18917	5.296	2
NA18502	NA18923	6.243	2
NA18502	NA18925	4.18	1
NA18502	NA18935	5.515	1
NA18502	NA19093	4.528	1
NA18502	NA19100	8.101	2
NA18502	NA19113	4.528	1
NA18502	NA19117	4.528	1
NA18502	NA19123	4.36	1
NA18502	NA19129	5.517	1
NA18502	NA19130	2.782	1
NA18502	NA19132	2.782	1
NA18502	NA19137	2.437	1
NA18502	NA19142	11.11	2
NA18502	NA19143	3.538	1
NA18502	NA19149	6.057	2
NA18502	NA19150	4.671	1
NA18502	NA19151	7.399	2
NA18502	NA19154	3.996	1
NA18502	NA19161	5.517	1
NA18502	NA19175	3.996	1
NA18502	NA19185	5.149	1
NA18502	NA19186	11.695	2
NA18502	NA19198	7.398	2
NA18502	NA19200	3.27	1
NA18502	NA19201	2.965	1
NA18502	NA19202	3.27	1
NA18502	NA19205	2.782	1
NA18502	NA19206	3.588	1
NA18502	NA19207	7.856	1
NA18502	NA19213	3.191	1
NA18502	NA19214	3.541	1
NA18502	NA19224	8.844	2
NA18502	NA19226	5.916	2
NA18502	NA19236	10.76	3
NA18502	NA19237	4.528	1
NA18502	NA19240	7.625	2
NA18502	NA19249	3.066	1
NA18502	NA19256	3.249	1
NA18502	NA19257	3.576	1
NA18503	NA18484	13.358	2
NA18503	NA18485	9.004	2
NA18503	NA18486	4.025	1
NA18503	NA18487	11.423	2
NA18503	NA18497	7.4	1
NA18503	NA18498	10.945	2
NA18503	NA18499	9.849	2
NA18503	NA18500	7.394	1
NA18503	NA18501	10.332	2
NA18503	NA18502	3.249	1
NA18503	NA18504	594.611	166
NA18503	NA18505	680.144	192
NA18503	NA18506	20.258	3
NA18503	NA18508	3.8	1
NA18503	NA18510	12.565	3
NA18503	NA18511	7.406	1
NA18503	NA18515	13.485	2
NA18503	NA18516	8.057	2
